X,Y,OBJECTID,COMPANY,GROWINGADDRESS,STATUS,ACREAGE,URL,XCOORD,YCOORD,MATCHTYPE,MAR_ID,LATITUDE,LONGITUDE
-77.024129730059116,38.932288989741409,1,"Good Sense Farm & Apiary, LLC",3400 Georgia Ave NW,For-profit,0.17,http://goodsensefarm.com/,397908.04,140489.06,Exact,233060,38.93228153,-77.02412744
-77.004715731100717,38.919622898823441,2,Little Wild Things City Farm,2131 Lincoln Rd NE,For-profit,0.125,www.littlewildthingsfarm.com,399591.25,139082.75,Exact,,,
-77.063539160538298,38.903810863224983,3,Little Wild Things City Farm,3210 Grace St NW,For-profit,0.01,www.littlewildthingsfarm.com,0,0,Manual,,,
-77.021669260456164,38.894949910193375,4,Up Top Acres,401 7th St NW,For-profit,0.04,http://uptopacres.com/index.html,398120.39,136344.06,Exact,279733,38.89494246,-77.02166697
-77.007812992333314,38.877999956245198,5,Up Top Acres,1015 Half St SE,For-profit,0.57,http://uptopacres.com/index.html,399322.26,134462.29,Exact,75572,38.87799251,-77.00781071
-77.006992152444852,38.876263459695892,6,Up Top Acres,55 M St SE,For-profit,0.344,http://uptopacres.com/index.html,399393.47,134269.52,Exact,306664,38.87625601,-77.00698987
-77.009345588796961,38.919727657291553,7,Cultivate the City,2216 North Capitol St NW,For-profit,0.02,http://www.cultivatethecity.com/,399189.75,139094.41,Exact,228044,38.9197202,-77.0093433
-76.982292297466344,38.902429861689861,8,Cultivate the City,910 Bladensburg Rd NE,For-profit,0.08,http://www.cultivatethecity.com/,401536.18,137174.32,Exact,289060,38.90242241,-76.98229002
-76.982906596905096,38.897383469566478,9,Cultivate the City,601 15th St NE,For-profit,0.05,http://www.cultivatethecity.com/,401483,136614.12,Exact,289548,38.89737602,-76.98290432
-76.995982476361149,38.902772821301141,10,Cultivate the City,700 K St NE,For-profit,0.02,http://www.cultivatethecity.com/,400348.68,137212.25,Exact,293,38.90276537,-76.99598019
-76.915892459483587,38.889427253945399,11,East Capitol Urban Farm (UDC),5901 East Capitol St SE,Non-profit,3,http://dev.udc.edu/college_of_urban_agriculture_and_environmental_studies/east_capitol_urban_farm,407297.09,135734.14,Exact,302595,38.8894198,-76.9158902
